epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
84,0.00100000,0.032443,99.1320,0.219936,93.7000,93.7400
85,0.00100000,0.031517,99.0940,0.222781,93.6300,93.7400
86,0.00100000,0.028525,99.2840,0.226050,93.5800,93.7400
87,0.00100000,0.026994,99.2900,0.224482,93.7600,93.7600
88,0.00100000,0.026830,99.2600,0.225919,93.8400,93.8400
89,0.00100000,0.025699,99.3400,0.228515,93.7100,93.8400
90,0.00100000,0.024190,99.3920,0.230881,93.5400,93.8400
91,0.00100000,0.022578,99.4560,0.231680,93.5000,93.8400
92,0.00100000,0.022436,99.4600,0.234308,93.5100,93.8400
93,0.00100000,0.021171,99.4760,0.232944,93.5200,93.8400
94,0.00100000,0.021522,99.4620,0.234182,93.5900,93.8400
95,0.00100000,0.020846,99.4660,0.237223,93.5900,93.8400
96,0.00100000,0.019505,99.5220,0.237333,93.6300,93.8400
97,0.00100000,0.020189,99.4800,0.236794,93.7200,93.8400
98,0.00100000,0.019160,99.5540,0.235481,93.6800,93.8400
99,0.00100000,0.017874,99.5560,0.237135,93.6500,93.8400
100,0.00100000,0.019038,99.4940,0.239776,93.6500,93.8400
