epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
84,0.00100000,0.015134,99.7840,0.185114,94.4200,94.4200
85,0.00100000,0.014514,99.8020,0.185925,94.3000,94.4200
86,0.00100000,0.013908,99.8240,0.184820,94.3800,94.4200
87,0.00100000,0.013531,99.8220,0.183423,94.4000,94.4200
88,0.00100000,0.013254,99.8460,0.183544,94.4800,94.4800
89,0.00100000,0.012297,99.8640,0.185391,94.4000,94.4800
90,0.00100000,0.012369,99.8680,0.185973,94.3300,94.4800
91,0.00100000,0.011945,99.8880,0.186257,94.3300,94.4800
92,0.00100000,0.011675,99.8840,0.183709,94.4100,94.4800
93,0.00100000,0.011750,99.8740,0.183664,94.3400,94.4800
94,0.00100000,0.011607,99.8760,0.185765,94.3800,94.4800
95,0.00100000,0.010612,99.9160,0.185996,94.4200,94.4800
96,0.00100000,0.011527,99.8720,0.186834,94.3000,94.4800
97,0.00100000,0.010338,99.9320,0.186148,94.3900,94.4800
98,0.00100000,0.010049,99.9140,0.184389,94.4500,94.4800
99,0.00100000,0.010353,99.9000,0.186174,94.3600,94.4800
100,0.00100000,0.010490,99.8860,0.185870,94.3600,94.4800
